fold_name,mae_test,rmse_test,r2_test,modelo,is_covid
Fold 1 (2010–2011),0.009652835117684559,0.012860595772737668,0.1926970768626437,OLS,False
Fold 2 (2012–2013),0.009808566624595196,0.012580824683774593,0.10658663364493082,OLS,False
Fold 3 (2014–2015),0.01125933881479231,0.014364408727656467,0.11260543944637713,OLS,False
Fold 4 (2016–2017),0.009748764608977698,0.012614330502936226,0.25397849078279644,OLS,False
Fold 5 (2018–2019),0.009027727892211974,0.011635745960250278,0.1632925498059632,OLS,False
Fold 6 (2020–2021),0.013357588467131464,0.019372106611000688,0.2437424586321273,OLS,True
Fold 1 (2010–2011),0.009207323193091655,0.012043151992883786,0.2920628810345174,GAM,False
Fold 2 (2012–2013),0.009557372813941437,0.012171045964737672,0.16383876408982,GAM,False
Fold 3 (2014–2015),0.011001689891571033,0.01398028379360122,0.1594312714785292,GAM,False
Fold 4 (2016–2017),0.009661732601173511,0.01243375977651363,0.27518381432462913,GAM,False
Fold 5 (2018–2019),0.008918182914896797,0.011427832151200449,0.1929268853759436,GAM,False
Fold 6 (2020–2021),0.012351694959704685,0.017572780310793807,0.3777040466518674,GAM,True
Fold 1 (2010–2011),0.01042134744781116,0.013747980565079792,0.0774452098217876,BSTS,False
Fold 2 (2012–2013),0.011027040995282199,0.013949878480164669,-0.09843679843170361,BSTS,False
Fold 3 (2014–2015),0.01130232863525554,0.014316621634539211,0.11849993462136765,BSTS,False
Fold 4 (2016–2017),0.009647638471986186,0.012885101760282139,0.22160749860794315,BSTS,False
Fold 5 (2018–2019),0.009408999005390797,0.012080769354618295,0.09806682790763832,BSTS,False
Fold 6 (2020–2021),0.012874249010988404,0.0191502386807216,0.26096603239253335,BSTS,True
